StartDate,EndDate,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4
8/18/20 14:59,8/18/20 14:59,preview,EN,4,5,4,2
8/19/20 16:21,8/19/20 16:21,anonymous,EN,6,2,3,1
8/19/20 16:21,8/19/20 16:21,anonymous,EN,5,2,4,1
8/19/20 16:21,8/19/20 16:21,anonymous,EN,6,1,7,1
8/19/20 16:21,8/19/20 16:21,anonymous,EN,7,3,5,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,6,1,5,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,6,2,5,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,2,1,3,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,2,3,2,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,3,1,4,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,3,1,5,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,3,3,2,2
8/19/20 16:21,8/19/20 16:22,anonymous,EN,2,2,5,2
8/19/20 16:22,8/19/20 16:22,anonymous,EN,9,3,5,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,4,4,6,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,5,3,5,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,9,3,6,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,8,3,6,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,2,2,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,3,2,2,2
8/19/20 16:21,8/19/20 16:22,anonymous,EN,3,5,5,2
8/19/20 16:21,8/19/20 16:22,anonymous,EN,9,2,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,4,4,4,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,8,2,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,6,3,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,6,3,6,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,1,2,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,4,5,2,1
8/19/20 16:21,8/19/20 16:22,anonymous,EN,6,3,6,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,6,2,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,6,3,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,11,2,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,5,2,3,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,6,2,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,2,2,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,10,4,5,1
8/19/20 16:22,8/19/20 16:22,anonymous,EN,10,2,5,1
8/19/20 16:22,8/19/20 16:23,anonymous,EN,4,3,3,1
8/19/20 16:22,8/19/20 16:23,anonymous,EN,10,3,5,1
8/19/20 16:22,8/19/20 16:23,anonymous,EN,10,5,5,1
8/19/20 16:22,8/19/20 16:23,anonymous,EN,3,3,4,1
8/19/20 16:23,8/19/20 16:23,anonymous,EN,3,2,5,1
8/19/20 16:23,8/19/20 16:23,anonymous,EN,3,3,4,1
8/19/20 16:22,8/19/20 16:23,anonymous,EN,5,3,5,2
8/19/20 16:22,8/19/20 16:23,anonymous,EN,4,2,6,1
8/19/20 16:23,8/19/20 16:24,anonymous,EN,7,3,5,2
8/19/20 16:23,8/19/20 16:24,anonymous,EN,4,3,5,1
8/19/20 16:23,8/19/20 16:24,anonymous,EN,2,3,5,1
8/19/20 16:23,8/19/20 16:24,anonymous,EN,6,4,7,2
8/19/20 16:24,8/19/20 16:24,anonymous,EN,1,2,5,1
8/19/20 16:24,8/19/20 16:25,anonymous,EN,7,1,5,1
8/19/20 16:25,8/19/20 16:25,anonymous,EN,5,3,5,1
8/19/20 16:25,8/19/20 16:26,anonymous,EN,11,2,5,1
8/19/20 16:26,8/19/20 16:26,anonymous,EN,10,3,7,1
8/19/20 16:26,8/19/20 16:26,anonymous,EN,6,2,4,1
8/19/20 16:26,8/19/20 16:27,anonymous,EN,5,2,4,1
8/19/20 16:27,8/19/20 16:27,anonymous,EN,11,2,5,1
8/19/20 16:27,8/19/20 16:27,anonymous,EN,8,6,5,1
8/19/20 16:27,8/19/20 16:27,anonymous,EN,8,4,6,1
8/19/20 16:27,8/19/20 16:27,anonymous,EN,8,2,3,1
8/19/20 16:27,8/19/20 16:27,anonymous,EN,4,4,2,1
8/19/20 16:27,8/19/20 16:28,anonymous,EN,10,2,6,1
8/19/20 16:28,8/19/20 16:28,anonymous,EN,11,3,5,1
8/19/20 16:28,8/19/20 16:28,anonymous,EN,3,2,5,2
8/19/20 16:28,8/19/20 16:28,anonymous,EN,7,2,5,1
8/19/20 16:28,8/19/20 16:28,anonymous,EN,4,2,5,1
8/19/20 16:27,8/19/20 16:28,anonymous,EN,5,3,5,1
8/19/20 16:28,8/19/20 16:28,anonymous,EN,11,5,5,1
8/19/20 16:27,8/19/20 16:28,anonymous,EN,5,4,5,1
8/19/20 16:28,8/19/20 16:28,anonymous,EN,1,3,4,2
8/19/20 16:28,8/19/20 16:28,anonymous,EN,8,4,4,1
8/19/20 16:28,8/19/20 16:28,anonymous,EN,4,2,5,2
8/19/20 16:28,8/19/20 16:28,anonymous,EN,2,5,5,2
8/19/20 16:28,8/19/20 16:28,anonymous,EN,7,6,7,1
8/19/20 16:28,8/19/20 16:28,anonymous,EN,12,3,5,1
8/19/20 16:28,8/19/20 16:29,anonymous,EN,5,1,3,2
8/19/20 16:27,8/19/20 16:29,anonymous,EN,10,3,5,1
8/19/20 16:28,8/19/20 16:29,anonymous,EN,8,3,5,1
8/19/20 16:28,8/19/20 16:29,anonymous,EN,4,2,5,1
8/19/20 16:28,8/19/20 16:29,anonymous,EN,1,2,4,2
8/19/20 16:28,8/19/20 16:29,anonymous,EN,8,2,5,1
8/19/20 16:28,8/19/20 16:29,anonymous,EN,5,3,3,1
8/19/20 16:28,8/19/20 16:29,anonymous,EN,4,2,5,1
8/19/20 16:29,8/19/20 16:29,anonymous,EN,4,1,4,1
8/19/20 16:29,8/19/20 16:29,anonymous,EN,5,2,7,1
8/19/20 16:28,8/19/20 16:29,anonymous,EN,6,2,6,1
8/19/20 16:29,8/19/20 16:29,anonymous,EN,6,4,5,1
8/19/20 16:29,8/19/20 16:29,anonymous,EN,7,3,5,2
8/19/20 16:29,8/19/20 16:29,anonymous,EN,5,2,6,1
8/19/20 16:29,8/19/20 16:29,anonymous,EN,4,3,6,1
8/19/20 16:29,8/19/20 16:29,anonymous,EN,4,3,6,1
8/19/20 16:28,8/19/20 16:30,anonymous,EN,5,2,7,1
8/19/20 16:29,8/19/20 16:30,anonymous,EN,5,5,3,1
8/19/20 16:29,8/19/20 16:30,anonymous,EN,3,2,5,1
8/19/20 16:27,8/19/20 16:30,anonymous,EN,6,3,5,1
8/19/20 16:31,8/19/20 16:31,anonymous,EN,1,3,2,1
8/19/20 16:30,8/19/20 16:31,anonymous,EN,6,2,5,1
8/19/20 16:30,8/19/20 16:31,anonymous,EN,3,3,4,1
8/19/20 16:32,8/19/20 16:32,anonymous,EN,7,3,5,2
8/19/20 16:32,8/19/20 16:33,anonymous,EN,1,5,6,1
8/19/20 16:32,8/19/20 16:33,anonymous,EN,4,2,5,1
8/19/20 16:33,8/19/20 16:34,anonymous,EN,2,2,5,1
8/19/20 16:33,8/19/20 16:35,anonymous,EN,3,5,5,1
8/19/20 16:39,8/19/20 16:39,anonymous,EN,3,2,5,1
8/19/20 16:47,8/19/20 16:48,anonymous,EN,8,2,5,1