StartDate,EndDate,Duration (in seconds),Finished,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4
8/28/20 11:07,8/28/20 11:07,11,1,anonymous,EN,3,2,5,2
8/28/20 11:07,8/28/20 11:07,10,1,anonymous,EN,4,3,5,1
8/28/20 11:07,8/28/20 11:07,14,1,anonymous,EN,2,2,5,1
8/28/20 11:07,8/28/20 11:07,13,1,anonymous,EN,2,2,4,2
8/28/20 11:07,8/28/20 11:07,18,1,anonymous,EN,2,5,5,2
8/28/20 11:07,8/28/20 11:07,15,1,anonymous,EN,1,2,2,2
8/28/20 11:07,8/28/20 11:07,16,1,anonymous,EN,3,3,5,1
8/28/20 11:07,8/28/20 11:07,10,1,anonymous,EN,8,2,7,1
8/28/20 11:07,8/28/20 11:07,15,1,anonymous,EN,5,2,4,1
8/28/20 11:07,8/28/20 11:07,10,1,anonymous,EN,4,2,3,1
8/28/20 11:07,8/28/20 11:07,16,1,anonymous,EN,8,2,6,1
8/28/20 11:07,8/28/20 11:07,18,1,anonymous,EN,4,2,4,1
8/28/20 11:07,8/28/20 11:07,13,1,anonymous,EN,1,3,4,2
8/28/20 11:07,8/28/20 11:07,16,1,anonymous,EN,11,4,5,1
8/28/20 11:07,8/28/20 11:07,20,1,anonymous,EN,2,2,5,1
8/28/20 11:07,8/28/20 11:07,18,1,anonymous,EN,3,3,6,1
8/28/20 11:07,8/28/20 11:07,7,1,anonymous,EN,9,1,5,2
8/28/20 11:07,8/28/20 11:07,16,1,anonymous,EN,10,2,5,1
8/28/20 11:07,8/28/20 11:07,13,1,anonymous,EN,1,3,5,1
8/28/20 11:07,8/28/20 11:07,19,1,anonymous,EN,8,2,6,1
8/28/20 11:07,8/28/20 11:07,15,1,anonymous,EN,6,2,6,1
8/28/20 11:07,8/28/20 11:07,20,1,anonymous,EN,4,2,5,1
8/28/20 11:07,8/28/20 11:07,20,1,anonymous,EN,6,3,5,1
8/28/20 11:07,8/28/20 11:07,13,1,anonymous,EN,4,3,5,1
8/28/20 11:07,8/28/20 11:07,14,1,anonymous,EN,6,2,5,1
8/28/20 11:07,8/28/20 11:07,21,1,anonymous,EN,8,2,5,1
8/28/20 11:07,8/28/20 11:07,22,1,anonymous,EN,5,2,5,1
8/28/20 11:07,8/28/20 11:07,23,1,anonymous,EN,4,2,5,1
8/28/20 11:07,8/28/20 11:07,25,1,anonymous,EN,7,5,5,1
8/28/20 11:07,8/28/20 11:07,33,1,anonymous,EN,5,3,5,1
8/28/20 11:07,8/28/20 11:07,22,1,anonymous,EN,11,3,6,1
8/28/20 11:07,8/28/20 11:07,21,1,anonymous,EN,7,2,6,1
8/28/20 11:07,8/28/20 11:07,18,1,anonymous,EN,4,1,5,1
8/28/20 11:07,8/28/20 11:07,25,1,anonymous,EN,8,4,5,1
8/28/20 11:07,8/28/20 11:07,21,1,anonymous,EN,9,2,4,1
8/28/20 11:07,8/28/20 11:07,38,1,anonymous,EN,6,2,5,1
8/28/20 11:07,8/28/20 11:07,37,1,anonymous,EN,6,2,4,1
8/28/20 11:07,8/28/20 11:07,27,1,anonymous,EN,6,3,5,1
8/28/20 11:07,8/28/20 11:07,15,1,anonymous,EN,2,2,4,1
8/28/20 11:07,8/28/20 11:07,34,1,anonymous,EN,5,3,5,2
8/28/20 11:07,8/28/20 11:08,18,1,anonymous,EN,2,2,5,1
8/28/20 11:07,8/28/20 11:08,33,1,anonymous,EN,5,3,4,1
8/28/20 11:07,8/28/20 11:08,29,1,anonymous,EN,6,3,5,1
8/28/20 11:07,8/28/20 11:08,28,1,anonymous,EN,5,3,5,1
8/28/20 11:07,8/28/20 11:08,12,1,anonymous,EN,6,2,5,1
8/28/20 11:07,8/28/20 11:08,21,1,anonymous,EN,3,3,5,1
8/28/20 11:07,8/28/20 11:08,31,1,anonymous,EN,6,2,5,1
8/28/20 11:07,8/28/20 11:08,23,1,anonymous,EN,3,2,4,1
8/28/20 11:07,8/28/20 11:08,22,1,anonymous,EN,10,3,5,1
8/28/20 11:07,8/28/20 11:08,24,1,anonymous,EN,8,2,5,1
8/28/20 11:07,8/28/20 11:08,41,1,anonymous,EN,6,3,5,1
8/28/20 11:07,8/28/20 11:08,30,1,anonymous,EN,12,2,5,1
8/28/20 11:07,8/28/20 11:08,28,1,anonymous,EN,6,3,5,1
8/28/20 11:07,8/28/20 11:08,26,1,anonymous,EN,6,2,5,1
8/28/20 11:07,8/28/20 11:08,22,1,anonymous,EN,2,3,5,1
8/28/20 11:07,8/28/20 11:08,49,1,anonymous,EN,3,3,5,1
8/28/20 11:07,8/28/20 11:08,18,1,anonymous,EN,1,2,3,1
8/28/20 11:07,8/28/20 11:08,26,1,anonymous,EN,8,2,5,1
8/28/20 11:07,8/28/20 11:08,31,1,anonymous,EN,5,2,5,1
8/28/20 11:07,8/28/20 11:08,27,1,anonymous,EN,5,4,5,1
8/28/20 11:07,8/28/20 11:08,57,1,anonymous,EN,11,3,4,1
8/28/20 11:07,8/28/20 11:08,45,1,anonymous,EN,9,3,5,1
8/28/20 11:07,8/28/20 11:08,24,1,anonymous,EN,7,2,5,1
8/28/20 11:07,8/28/20 11:08,19,1,anonymous,EN,7,2,5,1
8/28/20 11:07,8/28/20 11:08,29,1,anonymous,EN,2,2,4,1
8/28/20 11:07,8/28/20 11:08,29,1,anonymous,EN,4,2,5,1
8/28/20 11:07,8/28/20 11:08,45,1,anonymous,EN,1,2,7,1
8/28/20 11:07,8/28/20 11:08,29,1,anonymous,EN,5,3,5,1
8/28/20 11:07,8/28/20 11:08,24,1,anonymous,EN,4,2,2,1
8/28/20 11:07,8/28/20 11:08,28,1,anonymous,EN,6,2,6,1
8/28/20 11:07,8/28/20 11:08,29,1,anonymous,EN,8,2,6,1
8/28/20 11:07,8/28/20 11:08,39,1,anonymous,EN,9,6,5,1
8/28/20 11:07,8/28/20 11:08,36,1,anonymous,EN,5,4,5,1
8/28/20 11:07,8/28/20 11:08,24,1,anonymous,EN,4,2,2,1
8/28/20 11:07,8/28/20 11:08,38,1,anonymous,EN,2,2,6,1
8/28/20 11:08,8/28/20 11:08,10,1,anonymous,EN,10,3,7,1
8/28/20 11:07,8/28/20 11:08,54,1,anonymous,EN,4,5,5,1
8/28/20 11:07,8/28/20 11:08,20,1,anonymous,EN,6,2,5,1
8/28/20 11:08,8/28/20 11:08,18,1,anonymous,EN,2,3,4,2
8/28/20 11:07,8/28/20 11:08,37,1,anonymous,EN,9,2,5,1
8/28/20 11:07,8/28/20 11:08,28,1,anonymous,EN,5,6,5,1
8/28/20 11:07,8/28/20 11:08,53,1,anonymous,EN,5,2,7,1
8/28/20 11:07,8/28/20 11:08,58,1,anonymous,EN,1,3,6,1
8/28/20 11:07,8/28/20 11:08,49,1,anonymous,EN,5,4,6,1
8/28/20 11:07,8/28/20 11:08,34,1,anonymous,EN,3,3,5,1
8/28/20 11:08,8/28/20 11:08,34,1,anonymous,EN,4,2,5,1
8/28/20 11:08,8/28/20 11:08,26,1,anonymous,EN,4,3,6,1
8/28/20 11:07,8/28/20 11:08,37,1,anonymous,EN,5,3,5,1
8/28/20 11:08,8/28/20 11:08,29,1,anonymous,EN,8,3,5,1
8/28/20 11:08,8/28/20 11:08,22,1,anonymous,EN,2,1,2,1
8/28/20 11:07,8/28/20 11:08,44,1,anonymous,EN,6,2,5,2
8/28/20 11:07,8/28/20 11:08,38,1,anonymous,EN,8,4,5,1
8/28/20 11:08,8/28/20 11:08,37,1,anonymous,EN,6,2,5,1
8/28/20 11:08,8/28/20 11:08,16,1,anonymous,EN,6,3,3,1
8/28/20 11:07,8/28/20 11:08,44,1,anonymous,EN,5,2,5,2
8/28/20 11:08,8/28/20 11:08,20,1,anonymous,EN,3,2,5,1
8/28/20 11:08,8/28/20 11:08,22,1,anonymous,EN,5,2,6,1
8/28/20 11:08,8/28/20 11:08,39,1,anonymous,EN,5,3,5,1
8/28/20 11:07,8/28/20 11:08,50,1,anonymous,EN,3,2,5,1
8/28/20 11:08,8/28/20 11:08,32,1,anonymous,EN,3,3,5,1
8/28/20 11:07,8/28/20 11:08,48,1,anonymous,EN,7,2,5,1
8/28/20 11:08,8/28/20 11:08,16,1,anonymous,EN,5,2,2,1
8/28/20 11:08,8/28/20 11:08,30,1,anonymous,EN,6,3,5,1
8/28/20 11:08,8/28/20 11:08,23,1,anonymous,EN,6,2,5,1
8/28/20 11:08,8/28/20 11:08,27,1,anonymous,EN,4,2,5,1
8/28/20 11:08,8/28/20 11:08,38,1,anonymous,EN,3,4,5,1
8/28/20 11:07,8/28/20 11:08,70,1,anonymous,EN,11,2,5,1
8/28/20 11:08,8/28/20 11:09,15,1,anonymous,EN,2,5,5,1
8/28/20 11:08,8/28/20 11:09,22,1,anonymous,EN,3,2,5,1
8/28/20 11:08,8/28/20 11:09,56,1,anonymous,EN,3,3,4,1
8/28/20 11:08,8/28/20 11:09,30,1,anonymous,EN,5,2,5,1
8/28/20 11:08,8/28/20 11:09,34,1,anonymous,EN,3,4,4,1
8/28/20 11:08,8/28/20 11:09,31,1,anonymous,EN,8,2,5,1
8/28/20 11:08,8/28/20 11:09,27,1,anonymous,EN,3,2,3,1
8/28/20 11:08,8/28/20 11:09,19,1,anonymous,EN,5,3,5,1
8/28/20 11:08,8/28/20 11:09,45,1,anonymous,EN,8,2,4,1
8/28/20 11:08,8/28/20 11:09,74,1,anonymous,EN,4,2,5,1
8/28/20 11:08,8/28/20 11:09,42,1,anonymous,EN,3,4,4,2
8/28/20 11:08,8/28/20 11:09,46,1,anonymous,EN,8,2,6,1
8/28/20 11:08,8/28/20 11:09,29,1,anonymous,EN,6,3,5,1
8/28/20 11:09,8/28/20 11:09,33,1,anonymous,EN,6,3,5,1
8/28/20 11:09,8/28/20 11:09,36,1,anonymous,EN,5,3,5,1
8/28/20 11:09,8/28/20 11:09,29,1,anonymous,EN,6,2,5,1
8/28/20 11:09,8/28/20 11:09,16,1,anonymous,EN,5,2,2,1
8/28/20 11:09,8/28/20 11:09,22,1,anonymous,EN,8,4,5,1
8/28/20 11:09,8/28/20 11:09,25,1,anonymous,EN,3,3,6,1
8/28/20 11:09,8/28/20 11:09,24,1,anonymous,EN,6,2,5,1
8/28/20 11:09,8/28/20 11:09,20,1,anonymous,EN,4,5,6,1
8/28/20 11:09,8/28/20 11:09,26,1,anonymous,EN,4,2,5,1
8/28/20 11:09,8/28/20 11:10,40,1,anonymous,EN,6,4,6,1
8/28/20 11:09,8/28/20 11:10,19,1,anonymous,EN,6,4,3,1
8/28/20 11:09,8/28/20 11:10,15,1,anonymous,EN,5,2,5,1
8/28/20 11:07,8/28/20 11:10,130,1,anonymous,EN,10,3,5,1
8/28/20 11:09,8/28/20 11:10,34,1,anonymous,EN,6,3,5,1
8/28/20 11:09,8/28/20 11:10,48,1,anonymous,EN,5,5,5,1
8/28/20 11:09,8/28/20 11:10,21,1,anonymous,EN,9,2,5,1
8/28/20 11:09,8/28/20 11:10,43,1,anonymous,EN,3,1,2,1
8/28/20 11:09,8/28/20 11:10,30,1,anonymous,EN,5,2,4,1
8/28/20 11:10,8/28/20 11:10,19,1,anonymous,EN,5,2,5,1
8/28/20 11:10,8/28/20 11:10,32,1,anonymous,EN,5,4,6,1
8/28/20 11:10,8/28/20 11:10,16,1,anonymous,EN,6,2,5,1
8/28/20 11:10,8/28/20 11:10,25,1,anonymous,EN,6,3,5,1
8/28/20 11:10,8/28/20 11:10,38,1,anonymous,EN,11,2,5,1
8/28/20 11:11,8/28/20 11:11,10,1,anonymous,EN,6,2,4,1
8/28/20 11:10,8/28/20 11:11,31,1,anonymous,EN,8,3,5,1
8/28/20 11:10,8/28/20 11:11,33,1,anonymous,EN,1,2,5,1
8/28/20 11:11,8/28/20 11:11,21,1,anonymous,EN,7,3,5,1
8/28/20 11:11,8/28/20 11:11,12,1,anonymous,EN,3,2,5,1
8/28/20 11:11,8/28/20 11:11,21,1,anonymous,EN,2,2,5,1
8/28/20 11:11,8/28/20 11:11,12,1,anonymous,EN,1,2,4,2
8/28/20 11:11,8/28/20 11:11,13,1,anonymous,EN,4,2,5,1
8/28/20 11:11,8/28/20 11:11,33,1,anonymous,EN,6,2,5,1
8/28/20 11:11,8/28/20 11:11,21,1,anonymous,EN,11,3,5,1
8/28/20 11:10,8/28/20 11:11,47,1,anonymous,EN,3,3,6,1
8/28/20 11:11,8/28/20 11:11,19,1,anonymous,EN,4,3,2,1
8/28/20 11:11,8/28/20 11:11,44,1,anonymous,EN,3,3,5,1
8/28/20 11:11,8/28/20 11:11,30,1,anonymous,EN,5,2,5,1
8/28/20 11:11,8/28/20 11:11,17,1,anonymous,EN,8,2,5,1
8/28/20 11:11,8/28/20 11:12,45,1,anonymous,EN,3,3,5,1
8/28/20 11:12,8/28/20 11:12,10,1,anonymous,EN,3,2,3,1
8/28/20 11:12,8/28/20 11:12,14,1,anonymous,EN,5,2,6,1
8/28/20 11:11,8/28/20 11:12,34,1,anonymous,EN,1,3,5,1
8/28/20 11:12,8/28/20 11:12,17,1,anonymous,EN,6,2,5,1
8/28/20 11:12,8/28/20 11:12,22,1,anonymous,EN,2,3,4,1
8/28/20 11:11,8/28/20 11:12,38,1,anonymous,EN,6,1,5,1
8/28/20 11:12,8/28/20 11:12,34,1,anonymous,EN,5,4,6,1
8/28/20 11:12,8/28/20 11:12,23,1,anonymous,EN,2,3,5,1
8/28/20 11:11,8/28/20 11:13,80,1,anonymous,EN,3,3,6,1
8/28/20 11:12,8/28/20 11:13,33,1,anonymous,EN,5,2,5,1
8/28/20 11:12,8/28/20 11:13,55,1,anonymous,EN,5,3,5,1
8/28/20 11:13,8/28/20 11:13,14,1,anonymous,EN,7,4,7,1
8/28/20 11:13,8/28/20 11:13,27,1,anonymous,EN,10,2,7,1
8/28/20 11:13,8/28/20 11:13,28,1,anonymous,EN,6,2,6,1
8/28/20 11:13,8/28/20 11:13,20,1,anonymous,EN,7,2,5,1
8/28/20 11:12,8/28/20 11:13,77,1,anonymous,EN,6,4,5,1
8/28/20 11:13,8/28/20 11:14,19,1,anonymous,EN,8,2,6,1
8/28/20 11:13,8/28/20 11:14,42,1,anonymous,EN,6,2,5,1
8/28/20 11:13,8/28/20 11:14,47,1,anonymous,EN,6,2,6,1
8/28/20 11:13,8/28/20 11:14,26,1,anonymous,EN,8,3,5,1
8/28/20 11:13,8/28/20 11:14,31,1,anonymous,EN,6,2,5,1
8/28/20 11:13,8/28/20 11:14,28,1,anonymous,EN,10,2,7,2
8/28/20 11:13,8/28/20 11:14,58,1,anonymous,EN,3,3,6,1
8/28/20 11:13,8/28/20 11:14,34,1,anonymous,EN,8,2,5,1
8/28/20 11:13,8/28/20 11:14,31,1,anonymous,EN,7,3,6,1
8/28/20 11:14,8/28/20 11:14,34,1,anonymous,EN,6,4,4,1
8/28/20 11:13,8/28/20 11:14,63,1,anonymous,EN,5,4,5,1
8/28/20 11:14,8/28/20 11:14,23,1,anonymous,EN,6,3,5,1
8/28/20 11:14,8/28/20 11:15,41,1,anonymous,EN,7,2,5,1
8/28/20 11:14,8/28/20 11:15,21,1,anonymous,EN,9,2,5,1
8/28/20 11:14,8/28/20 11:15,50,1,anonymous,EN,4,2,5,1
8/28/20 11:15,8/28/20 11:15,22,1,anonymous,EN,3,1,5,1
8/28/20 11:10,8/28/20 11:16,355,1,anonymous,EN,4,1,7,1
8/28/20 11:16,8/28/20 11:16,20,1,anonymous,EN,7,3,5,1
8/28/20 11:16,8/28/20 11:16,10,1,anonymous,EN,4,2,3,1
8/28/20 11:16,8/28/20 11:16,18,1,anonymous,EN,8,5,5,1
8/28/20 11:15,8/28/20 11:17,91,1,anonymous,EN,8,2,5,1
8/28/20 11:17,8/28/20 11:17,21,1,anonymous,EN,5,2,5,1
8/28/20 11:17,8/28/20 11:18,36,1,anonymous,EN,3,4,5,1
8/28/20 11:17,8/28/20 11:18,45,1,anonymous,EN,3,3,3,2
8/28/20 11:19,8/28/20 11:19,24,1,anonymous,EN,5,4,5,2
8/28/20 11:19,8/28/20 11:20,31,1,anonymous,EN,6,1,5,1
8/28/20 11:20,8/28/20 11:21,46,1,anonymous,EN,3,3,5,1
8/28/20 11:20,8/28/20 11:21,37,1,anonymous,EN,10,7,5,1
8/28/20 11:26,8/28/20 11:26,27,1,anonymous,EN,3,2,6,1
8/28/20 11:25,8/28/20 11:27,110,1,anonymous,EN,5,4,6,1
8/28/20 11:42,8/28/20 11:43,40,1,anonymous,EN,4,3,3,1