StartDate,EndDate,UserLanguage,Q1,Q2,Q3,Q4,SC0,bonus,perturb1,perturb2,perturb3,pg1score
8/27/20 15:31,8/27/20 15:31,EN,3,2,3,2,1,10,2,1,1,29
8/27/20 15:31,8/27/20 15:31,EN,5,2,6,1,1,85,1,2,2,29
8/27/20 15:31,8/27/20 15:31,EN,1,5,6,1,1,90,1,2,2,59
8/27/20 15:31,8/27/20 15:31,EN,3,3,5,1,1,77,1,2,2,39
8/27/20 15:31,8/27/20 15:31,EN,8,2,5,1,1,76,1,2,2,29
8/27/20 15:31,8/27/20 15:31,EN,3,2,5,1,1,80,2,2,2,29
8/27/20 15:31,8/27/20 15:31,EN,5,3,5,1,1,26,1,1,1,39
8/27/20 15:31,8/27/20 15:31,EN,5,2,5,1,1,24,1,1,1,29
8/27/20 15:31,8/27/20 15:32,EN,2,5,5,1,1,39,2,1,1,59
8/27/20 15:31,8/27/20 15:32,EN,5,5,7,1,1,88,1,2,1,59
8/27/20 15:31,8/27/20 15:32,EN,10,4,5,1,1,36,2,1,1,49
8/27/20 15:31,8/27/20 15:32,EN,1,1,2,1,1,25,1,1,2,21
8/27/20 15:31,8/27/20 15:32,EN,6,3,5,1,1,44,2,1,2,39
8/27/20 15:31,8/27/20 15:32,EN,5,1,5,1,1,78,2,2,2,21
8/27/20 15:31,8/27/20 15:32,EN,7,2,3,1,1,29,1,1,2,29
8/27/20 15:31,8/27/20 15:32,EN,4,4,5,1,1,87,2,2,2,49
8/27/20 15:31,8/27/20 15:32,EN,3,3,5,1,1,32,2,1,1,39
8/27/20 15:31,8/27/20 15:32,EN,2,1,5,2,1,11,1,1,2,21
8/27/20 15:31,8/27/20 15:32,EN,6,2,5,2,1,12,1,1,2,29
8/27/20 15:31,8/27/20 15:32,EN,7,3,6,1,1,75,1,2,1,39
8/27/20 15:32,8/27/20 15:32,EN,1,3,3,1,1,30,1,1,2,39
8/27/20 15:31,8/27/20 15:32,EN,6,2,5,1,1,41,2,1,2,29
8/27/20 15:32,8/27/20 15:32,EN,9,6,5,1,1,31,1,1,1,69
8/27/20 15:32,8/27/20 15:32,EN,6,3,6,1,1,82,2,2,1,39
8/27/20 15:31,8/27/20 15:32,EN,1,2,2,1,1,31,2,1,2,29
8/27/20 15:32,8/27/20 15:32,EN,3,3,3,1,1,30,1,1,2,39
8/27/20 15:31,8/27/20 15:32,EN,2,4,5,2,1,16,1,1,2,49
8/27/20 15:32,8/27/20 15:32,EN,8,2,5,1,1,36,1,1,2,29
8/27/20 15:31,8/27/20 15:32,EN,5,1,5,1,1,66,2,2,1,21
8/27/20 15:31,8/27/20 15:32,EN,3,2,5,1,1,64,1,2,1,29
8/27/20 15:31,8/27/20 15:32,EN,6,3,7,1,1,97,1,2,2,39
8/27/20 15:31,8/27/20 15:32,EN,11,4,6,1,1,32,1,1,1,49
8/27/20 15:31,8/27/20 15:32,EN,7,2,5,1,1,41,2,1,2,29
8/27/20 15:32,8/27/20 15:32,EN,6,3,6,1,1,87,1,2,2,39
8/27/20 15:32,8/27/20 15:32,EN,1,2,4,2,1,47,2,2,2,29
8/27/20 15:32,8/27/20 15:32,EN,6,4,5,1,1,36,2,1,1,49
8/27/20 15:32,8/27/20 15:32,EN,2,3,5,1,1,84,2,2,2,39
8/27/20 15:32,8/27/20 15:32,EN,11,4,4,1,1,43,2,1,2,49
8/27/20 15:32,8/27/20 15:32,EN,4,2,5,2,1,52,1,2,2,29
8/27/20 15:31,8/27/20 15:32,EN,10,3,6,1,1,75,1,2,1,39
8/27/20 15:31,8/27/20 15:32,EN,3,2,7,1,1,51,2,1,2,29
8/27/20 15:32,8/27/20 15:33,EN,3,2,5,1,1,29,2,1,1,29
8/27/20 15:32,8/27/20 15:33,EN,4,3,5,1,1,77,1,2,2,39
8/27/20 15:32,8/27/20 15:33,EN,3,3,5,2,1,60,2,2,2,39
8/27/20 15:32,8/27/20 15:33,EN,5,2,6,1,1,46,2,1,2,29
8/27/20 15:32,8/27/20 15:33,EN,3,3,6,2,1,70,2,2,1,39
8/27/20 15:32,8/27/20 15:33,EN,4,3,3,1,1,50,1,2,1,39
8/27/20 15:32,8/27/20 15:33,EN,3,4,7,1,1,49,1,1,2,49
8/27/20 15:32,8/27/20 15:33,EN,1,2,4,2,1,7,1,1,1,29
8/27/20 15:33,8/27/20 15:33,EN,3,3,7,1,1,103,2,2,2,39
8/27/20 15:33,8/27/20 15:33,EN,6,3,5,1,1,77,1,2,2,39
8/27/20 15:32,8/27/20 15:34,EN,6,4,5,1,1,36,2,1,1,49
8/27/20 15:32,8/27/20 15:34,EN,1,3,5,1,1,26,1,1,1,39
8/27/20 15:33,8/27/20 15:34,EN,2,3,5,1,1,72,2,2,1,39
8/27/20 15:33,8/27/20 15:34,EN,4,2,4,1,1,36,2,1,2,29
8/27/20 15:34,8/27/20 15:35,EN,5,2,5,1,1,64,1,2,1,29
8/27/20 15:34,8/27/20 15:35,EN,6,4,5,1,1,75,2,2,1,49
8/27/20 15:34,8/27/20 15:35,EN,1,4,6,2,1,20,1,1,1,49
8/27/20 15:34,8/27/20 15:35,EN,9,1,6,1,1,88,2,2,2,21
8/27/20 15:35,8/27/20 15:35,EN,4,2,4,1,1,59,2,2,1,29
8/27/20 15:35,8/27/20 15:35,EN,7,2,5,1,1,24,1,1,1,29
8/27/20 15:35,8/27/20 15:36,EN,5,2,7,1,1,95,1,2,2,29
8/27/20 15:37,8/27/20 15:37,EN,6,4,5,1,1,48,2,1,2,49
8/27/20 15:37,8/27/20 15:37,EN,7,2,6,1,1,78,2,2,1,29
8/27/20 15:37,8/27/20 15:38,EN,5,4,3,1,1,40,2,1,2,49
8/27/20 15:37,8/27/20 15:38,EN,5,2,5,2,1,52,1,2,2,29
8/27/20 15:37,8/27/20 15:38,EN,6,6,6,1,1,92,2,2,1,69
8/27/20 15:37,8/27/20 15:38,EN,5,2,4,1,1,54,1,2,1,29
8/27/20 15:37,8/27/20 15:38,EN,9,3,7,1,1,97,1,2,2,39
8/27/20 15:38,8/27/20 15:38,EN,11,3,5,1,1,44,2,1,2,39
8/27/20 15:38,8/27/20 15:38,EN,3,2,3,1,1,49,1,2,1,29
8/27/20 15:37,8/27/20 15:38,EN,4,2,2,1,1,56,1,2,2,29
8/27/20 15:38,8/27/20 15:38,EN,3,2,5,1,1,41,2,1,2,29
8/27/20 15:37,8/27/20 15:38,EN,2,3,5,2,1,14,1,1,1,39
8/27/20 15:37,8/27/20 15:38,EN,8,2,5,2,1,12,1,1,2,29
8/27/20 15:38,8/27/20 15:38,EN,6,3,4,1,1,62,2,2,1,39
8/27/20 15:38,8/27/20 15:38,EN,9,3,7,1,1,54,2,1,2,39
8/27/20 15:38,8/27/20 15:38,EN,10,4,5,2,1,16,1,1,1,49
8/27/20 15:38,8/27/20 15:38,EN,4,3,7,1,1,42,2,1,1,39
8/27/20 15:38,8/27/20 15:38,EN,10,2,5,1,1,41,2,1,2,29
8/27/20 15:38,8/27/20 15:39,EN,5,2,2,1,1,49,2,2,1,29
8/27/20 15:38,8/27/20 15:39,EN,5,4,5,1,1,28,1,1,1,49
8/27/20 15:38,8/27/20 15:39,EN,4,4,2,1,1,59,1,2,2,49
8/27/20 15:39,8/27/20 15:39,EN,8,4,7,1,1,99,1,2,2,49
8/27/20 15:39,8/27/20 15:39,EN,12,2,7,2,1,22,1,1,2,29
8/27/20 15:39,8/27/20 15:39,EN,7,2,5,1,1,24,1,1,1,29
8/27/20 15:39,8/27/20 15:40,EN,9,5,5,2,1,57,1,2,1,59
8/27/20 15:39,8/27/20 15:40,EN,8,2,7,1,1,51,2,1,2,29
8/27/20 15:39,8/27/20 15:40,EN,1,2,2,2,1,2,1,1,1,29
8/27/20 15:40,8/27/20 15:40,EN,6,3,5,1,1,77,1,2,2,39
8/27/20 15:39,8/27/20 15:40,EN,4,4,5,1,1,28,1,1,1,49
8/27/20 15:40,8/27/20 15:41,EN,4,4,5,1,1,36,2,1,1,49
8/27/20 15:42,8/27/20 15:43,EN,8,2,5,1,1,24,1,1,1,29
8/27/20 15:42,8/27/20 15:43,EN,6,4,5,1,1,87,2,2,2,49
8/27/20 15:43,8/27/20 15:44,EN,5,1,3,1,1,31,2,1,2,21
8/27/20 15:43,8/27/20 15:44,EN,7,2,5,1,1,24,1,1,1,29
8/27/20 15:44,8/27/20 15:44,EN,3,2,5,1,1,80,2,2,2,29
8/27/20 15:45,8/27/20 15:46,EN,4,2,5,1,1,64,1,2,1,29
8/27/20 15:48,8/27/20 15:48,EN,7,2,2,1,1,19,2,1,1,29
8/27/20 15:44,8/27/20 15:53,EN,5,3,5,1,1,77,1,2,2,39