Duration (in seconds),Q1,Q2,Q3,Q4,bonus,perturb1,perturb2,perturb3,pg1score
15,3,2,5,1,76,2,2,2,29
30,2,3,5,2,18,1,1,1,39
11,5,2,7,1,97,2,2,2,29
21,5,1,5,1,30,2,1,2,21
24,4,2,5,2,64,2,2,2,29
35,6,2,6,2,21,1,1,1,29
32,8,2,5,1,28,1,1,2,29
25,6,2,6,1,81,1,2,2,29
26,2,2,2,2,37,1,2,2,29
25,3,2,2,1,16,2,1,1,29
29,2,2,5,2,21,2,1,2,29
26,2,1,2,1,16,1,1,2,21
14,3,2,5,1,27,2,1,1,29
22,3,6,5,1,35,1,1,2,69
22,5,2,5,1,76,2,2,2,29
27,3,3,5,1,37,2,1,2,39
22,6,2,5,1,76,2,2,2,29
37,5,2,6,1,86,2,2,2,29
34,10,5,6,1,97,2,2,2,59
35,5,6,5,1,29,1,1,1,69
13,5,1,5,1,30,2,1,2,21
28,2,2,5,2,21,2,1,1,29
16,4,1,5,1,73,2,2,2,21
27,7,3,4,1,68,2,2,2,39
44,10,3,5,1,37,2,1,2,39
39,4,3,4,1,18,1,1,1,39
36,6,3,6,1,77,1,2,1,39
29,6,2,7,1,92,1,2,2,29
27,9,3,5,1,73,2,2,1,39
63,3,1,2,1,20,2,1,2,21
40,10,2,5,1,76,2,2,2,29
28,10,4,5,1,68,1,2,1,49
36,6,2,7,1,92,1,2,2,29
32,4,3,5,1,72,1,2,2,39
56,1,3,4,2,12,1,1,2,39
37,6,3,5,1,24,1,1,1,39
22,3,3,5,2,18,1,1,1,39
38,8,3,5,1,72,1,2,2,39
17,4,3,5,1,24,1,1,1,39
33,6,5,5,1,76,1,2,2,59
27,5,2,5,1,27,2,1,1,29
28,5,2,6,1,75,1,2,1,29
23,4,2,5,1,76,2,2,2,29
18,6,2,6,1,75,1,2,1,29
43,6,3,2,1,13,1,1,1,39
31,2,2,5,1,28,1,1,2,29
72,6,4,6,1,45,2,1,2,49
18,6,2,5,1,27,2,1,1,29
104,11,2,4,1,28,2,1,2,29
25,7,2,5,1,33,2,1,2,29
34,8,2,5,1,33,2,1,2,29
28,1,3,7,1,93,1,2,2,39
30,5,2,6,1,33,1,1,2,29
96,5,5,7,1,54,2,1,2,59
16,6,1,5,1,73,2,2,2,21
20,7,3,5,1,73,2,2,1,39
19,6,2,7,1,86,1,2,1,29
56,10,5,5,1,80,2,2,1,59
63,6,4,6,2,81,2,2,1,49
46,10,3,2,1,26,2,1,2,39
36,5,5,5,1,33,1,1,2,59
97,3,3,5,1,73,2,2,1,39
13,7,2,3,1,54,2,2,1,29
19,9,1,5,2,15,1,1,2,21
37,11,2,5,1,27,2,1,1,29
37,5,3,5,1,79,2,2,2,39
20,5,4,5,1,68,1,2,1,49
60,9,4,4,1,66,2,2,1,49
61,4,2,5,1,22,1,1,1,29
58,6,6,7,1,58,2,1,2,69
21,6,5,5,1,37,2,1,1,59
48,6,3,5,1,66,1,2,1,39
14,3,2,2,1,49,1,2,2,29
18,1,2,3,1,20,1,1,2,29
19,8,2,5,1,70,1,2,2,29
37,5,3,7,1,34,1,1,1,39
18,8,2,5,2,21,2,1,1,29
15,10,3,7,1,93,1,2,2,39
15,6,2,5,1,70,2,2,1,29
14,6,3,5,1,37,2,1,2,39
37,4,2,4,1,60,1,2,2,29
36,5,2,4,1,60,1,2,2,29
34,7,3,7,1,41,2,1,1,39
42,8,4,2,1,47,1,2,1,49
33,5,2,6,1,75,1,2,1,29
37,4,3,5,1,31,2,1,1,39
46,4,2,5,1,22,1,1,1,29
48,6,5,5,1,70,1,2,1,59
44,4,1,3,2,10,2,1,1,21
29,1,2,2,2,42,2,2,1,29
24,1,2,2,1,11,1,1,1,29
30,8,5,5,1,27,1,1,1,59
43,5,2,5,1,70,2,2,1,29
33,6,3,7,1,94,2,2,1,39
39,3,2,5,1,70,1,2,2,29
27,6,3,5,1,66,1,2,1,39
24,6,2,4,1,17,1,1,1,29
16,5,4,5,1,74,1,2,2,49
36,6,4,5,1,76,2,2,1,49
17,8,2,5,2,21,2,1,2,29
25,7,3,5,1,72,1,2,2,39
29,8,2,6,1,80,2,2,1,29
37,10,3,5,1,24,1,1,1,39